a,b,c
1.5,2,2.5
4.0,3,5.0
7.5,4,8.5
12.0,5,13.0
17.5,6,18.5
24.0,7,25.0
31.5,8,32.5
40.0,9,41.0
49.5,10,50.5
60.0,11,61.0
71.5,12,72.5
84.0,13,85.0
97.5,14,98.5
112.0,15,113.0
127.5,16,128.5
144.0,17,145.0
161.5,18,162.5
180.0,19,181.0
199.5,20,200.5
